id,rate,votes,cuisine
48915,,0,South Indian
18721,2.7,135,Biryani
4577,,0,BBQ
40486,3.4,37,Mughlai
9045,3.5,40,Italian
839,4.1,305,Italian
17593,,0,North Indian
5363,3.4,7,Fast Food
8202,3.9,48,Fast Food
3937,3.7,37,Cafe
1024,,0,Continental
46377,,0,Desserts
2615,3.2,49,Arabian
9754,3.7,41,Biryani
1907,3.5,22,Biryani
18247,4.6,2785,Continental
1068,4.1,353,European
4174,4.1,129,Pizza
41925,4.2,1731,Chinese
46399,4.3,969,Chinese
23728,4.2,1745,Chinese
1298,4.0,1509,Cafe
2630,4.1,218,North Indian
22088,3.5,24,Cafe
298,4.0,808,North Indian
38964,4.0,1070,North Indian
48123,3.9,621,North Indian
635,4.1,2303,North Indian
295,3.4,58,Cafe
41574,3.7,33,Street Food
6961,4.3,597,Asian
42732,3.1,11,North Indian
22576,3.7,209,Kerala
13707,4.0,419,Chinese
4521,4.0,933,American
3048,3.6,15,Continental
12435,,0,North Indian
43212,,0,North Indian
2624,3.1,46,Asian
696,,0,Bakery
17595,3.3,4,Bakery
1556,3.4,9,Cafe
840,4.1,268,North Indian
38977,4.0,344,Continental
5865,3.0,7,South Indian
3819,4.1,1234,North Indian
23476,3.9,283,North Indian
6528,3.7,21,South Indian
43148,3.7,128,North Indian
10872,3.9,157,North Indian
3324,4.2,556,Tibetan
119,3.1,13,Cafe
2928,3.6,16,South Indian
36468,3.5,58,Chinese
5364,,0,Bakery
970,4.4,1149,North Indian
42482,4.5,1909,North Indian
41634,4.1,662,Finger Food
7626,,0,Juices
1481,3.0,17,Burger
18182,3.7,14,Ice Cream
22574,3.7,399,North Indian
7134,,0,South Indian
7131,,0,South Indian
788,,0,Bar Food
6914,,0,Seafood
40668,4.1,55,Fast Food
1909,3.6,82,South Indian
135,3.0,23,Street Food
8660,3.3,4,North Indian
32016,,0,North Indian
930,4.0,62,Cafe
8901,,0,Beverages
22229,,0,South Indian
5654,,0,South Indian
2218,3.2,4,South Indian
11725,3.9,737,American
9156,3.9,1763,Finger Food
9117,3.6,51,Mithai
1459,3.5,15,Cafe
966,3.8,478,North Indian
9177,3.5,11,North Indian
20765,3.4,8,Andhra
1900,,0,North Indian
2738,,0,North Indian
41655,3.9,210,North Indian
6123,3.7,259,Mughlai
22469,3.6,519,North Indian
2906,3.9,169,North Indian
1825,3.5,19,Chinese
22164,3.4,5,Biryani
2302,3.2,15,Biryani
4795,3.7,16,Fast Food
